Date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2/24/22,59,62,62,54,69,54,83,23,23190,29520,6330,4710,14880,3600,43,79,570,14160,2022-02-24T01:39:44-05:00,2022-02-24T09:51:44-05:00,51.65,47,62,-0.18,0.1,12.5,65,100,100,25,40,34,94,2215,2031,1265,17760,31980,6540,60,0,30060,1.1875,0,78,51,58,100,98,99,86,85,100
2/25/22,57,60,49,60,55,43,78,49,22650,31140,8490,3750,14940,3960,51,73,420,14430,2022-02-25T00:40:56-05:00,2022-02-25T09:19:56-05:00,65.43,57,41,1.36,0.67,14,54,97,100,1,1,28,133,2236,2739,2331,20640,32160,5760,420,0,27420,1.21875,0,37,48,56,100,95,1,6,73,100
2/26/22,60,79,71,49,53,60,24,35,27570,38160,10590,5370,18930,3270,37,72,2580,20550,2022-02-25T23:26:25-05:00,2022-02-26T10:02:25-05:00,54.32,47,58,0.52,0.89,12.375,51,77,100,1,1,27,112,2238,2458,1955,21900,21960,5880,240,0,36420,1.21875,0,72,53,62,None,96,60,96,74,71
2/28/22,62,62,42,64,62,58,89,59,23310,30480,7170,3240,15810,4260,35,76,1140,15270,2022-02-28T00:05:15-05:00,2022-02-28T08:33:15-05:00,49.13,45,64,0.07,0.69,12.375,52,100,100,1,1,15,35,2095,670,486,5340,28680,1920,60,0,50400,1.125,0,75,56,60,100,93,99,100,78,57
3/1/22,65,75,38,67,69,53,86,43,26550,33720,7170,2910,19230,4410,41,79,630,16110,2022-03-01T00:23:29-05:00,2022-03-01T09:45:29-05:00,50.68,46,63,-0.21,0.23,12.375,52,100,100,1,1,12,82,2167,1693,1274,7320,28020,4980,120,0,45960,1.1875,0,80,61,64,None,95,98,100,81,100
3/2/22,54,56,30,79,72,45,72,27,21630,27120,5490,2310,14100,5220,49,80,300,12900,2022-03-02T01:50:02-05:00,2022-03-02T09:22:02-05:00,50.89,47,62,-0.28,0,11.75,51,100,100,1,1,7,48,2121,1033,640,5520,30120,3360,60,0,47340,1.15625,0,73,43,60,None,94,95,86,83,93
3/3/22,66,71,79,71,62,53,72,47,25470,33600,8130,6000,14820,4650,46,76,330,15180,2022-03-03T00:31:46-05:00,2022-03-03T09:51:46-05:00,53.39,49,63,-0.15,-0.03,12.25,63,100,100,1,40,59,389,2455,591,5605,5580,32100,2520,60,1440,44700,1.3125,0,74,62,61,None,94,100,86,85,73
3/4/22,66,76,61,58,81,48,83,34,26940,31920,4980,4650,18480,3810,44,84,570,15600,2022-03-04T00:50:05-05:00,2022-03-04T09:42:05-05:00,55.54,50,58,0.05,0.07,11.75,61,91,100,1,40,57,194,2415,3921,2526,25320,29940,14280,240,0,16620,1.3125,0,74,62,65,None,95,100,60,85,100
3/5/22,55,62,54,39,65,43,75,31,23160,30240,7080,4140,16410,2610,50,77,390,15000,2022-03-05T01:06:29-05:00,2022-03-05T09:30:29-05:00,55.48,51,60,-0.01,0.16,12.625,62,100,100,1,40,51,53,2094,1150,945,4560,37440,2880,0,0,41520,1.125,0,72,45,63,94,95,100,52,85,100
3/6/22,77,83,76,89,62,60,86,75,28740,37740,9000,5760,17130,5850,38,76,600,17670,2022-03-05T22:53:18-05:00,2022-03-06T09:22:18-05:00,54.91,49,61,0.14,0.23,11.875,61,100,100,1,40,43,16,2060,332,233,3240,30720,960,0,0,51480,1.125,0,82,80,69,None,95,93,80,85,100
